OpportunityID,OpportunityName,LeadID,Channel,OutletID,AccountID,ContactID,OwnerUserID,LeadSource,CreatedOn,StageNo,Stage,Status,Probability,TotalUnits,EstimatedRevenueINR,ExpectedCloseDate,ActualCloseDate,LastActivityOn,FinanceType,HasExchangeVehicle,IsTender,LostReason
OPP-000046,Punch CNG - Shilpa D'Souza,LD-0000084,Retail,OUT04,,CON-009757,USR-111,OEM Website Lead,2023-09-28 21:20:57,7,7-Closed Lost,Lost,0,1,716157,2023-10-22,2023-09-30,2023-09-30 19:21:34,Cash,False,False,Not Responding
OPP-000047,Safari Diesel - Kavya Pinto,LD-0000086,Retail,OUT02,,CON-009758,USR-052,Walk-in,2023-09-24 12:25:55,6,6-Closed Won,Won,100,1,1938014,2023-10-25,2023-10-16,2023-10-16 04:25:09,Bank Loan,True,False,
OPP-000048,Tiago Petrol - Kiran Fernandes,LD-0000087,Retail,OUT06,,CON-009759,USR-172,Walk-in,2023-09-23 21:38:39,6,6-Closed Won,Won,100,1,612811,2023-10-22,2023-11-01,2023-11-01 14:12:32,Bank Loan,True,False,
OPP-000049,Punch Petrol - Ritu Shetty,LD-0000088,Retail,OUT04,,CON-009760,USR-117,Walk-in,2023-09-27 05:52:05,6,6-Closed Won,Won,100,1,629278,2023-10-20,2023-10-24,2023-10-24 02:14:10,Bank Loan,False,False,
OPP-000050,Nexon Petrol - Sunil Pinto,LD-0000089,Retail,OUT06,,CON-009761,USR-172,Walk-in,2023-09-26 06:54:30,6,6-Closed Won,Won,100,1,1004318,2023-10-16,2023-10-19,2023-10-19 22:07:46,Bank Loan,True,False,
OPP-000051,Tiago CNG - Arjun Raju,LD-0000091,Retail,OUT03,,CON-009762,USR-081,OEM Website Lead,2023-09-29 19:24:50,7,7-Closed Lost,Lost,0,1,676252,2023-10-23,2023-12-10,2023-12-10 08:32:12,OEM Partner Finance,True,False,Price / Discount
OPP-000052,Nexon EV - Shreya Raju,LD-0000092,Retail,OUT01,,CON-009763,USR-026,Referral,2023-09-26 06:26:18,7,7-Closed Lost,Lost,0,1,1253933,2023-10-16,2023-09-29,2023-09-29 15:30:04,Bank Loan,False,False,Plan Postponed
OPP-000053,Punch Petrol - Ravi Chandra,LD-0000095,Retail,OUT06,,CON-009764,USR-166,Google Ads,2023-09-25 14:57:37,6,6-Closed Won,Won,100,1,743774,2023-10-22,2023-11-04,2023-11-04 00:20:06,Bank Loan,False,False,
OPP-000054,Punch Petrol - Rashmi Murthy,LD-0000097,Retail,OUT01,,CON-009765,USR-012,Walk-in,2023-09-28 20:22:53,7,7-Closed Lost,Lost,0,1,728903,2023-10-30,2023-10-03,2023-10-03 16:46:15,Bank Loan,False,False,Price / Discount
OPP-000055,Nexon Petrol - Shreya Kamath,LD-0000098,Retail,OUT02,,CON-009766,USR-071,Walk-in,2023-09-26 06:02:07,7,7-Closed Lost,Lost,0,1,909603,2023-10-20,2023-09-30,2023-09-30 00:59:41,Bank Loan,False,False,Bought Competitor - Hyundai
OPP-000056,Nexon Petrol - Abhishek Shenoy,LD-0000102,Retail,OUT06,,CON-009767,USR-172,Dealer Website,2023-09-29 04:23:19,6,6-Closed Won,Won,100,1,962420,2023-10-27,2023-10-19,2023-10-19 17:08:32,Cash,False,False,
OPP-000057,Nexon Petrol - Vinod Krishnan,LD-0000105,Retail,OUT05,,CON-009768,USR-143,OEM Website Lead,2023-09-29 08:05:05,6,6-Closed Won,Won,100,1,960792,2023-10-23,2023-11-03,2023-11-03 18:13:08,Bank Loan,False,False,
OPP-000058,Nexon Petrol - Prajwal D'Souza,LD-0000109,Retail,OUT01,,CON-009769,USR-020,Google Ads,2023-09-29 07:02:43,7,7-Closed Lost,Lost,0,1,951858,2023-10-30,2023-10-08,2023-10-08 00:33:34,Bank Loan,False,False,Plan Postponed
OPP-000059,Tiago CNG - Chetan Swamy,LD-0000110,Retail,OUT07,,CON-009770,USR-193,Social Media Ads,2023-09-24 17:12:37,7,7-Closed Lost,Lost,0,1,654925,2023-10-20,2023-09-28,2023-09-28 20:11:32,OEM Partner Finance,False,False,Not Responding
OPP-000060,Tiago CNG - Pavan Shetty,LD-0000112,Retail,OUT02,,CON-009771,USR-049,Social Media Ads,2023-09-25 16:58:10,7,7-Closed Lost,Lost,0,1,674342,2023-10-29,2023-10-15,2023-10-15 13:39:57,Cash,False,False,Not Responding
OPP-000061,Tiago Petrol - Pooja Kulkarni,LD-0000113,Retail,OUT01,,CON-009772,USR-026,Google Ads,2023-09-24 23:39:03,6,6-Closed Won,Won,100,1,507753,2023-10-19,2023-10-06,2023-10-06 22:46:01,Bank Loan,False,False,
OPP-000062,Altroz Petrol - Vasanth Shenoy,LD-0000114,Retail,OUT05,,CON-009773,USR-135,Google Ads,2023-09-30 04:20:40,7,7-Closed Lost,Lost,0,1,765471,2023-10-31,2023-10-02,2023-10-02 05:29:19,Bank Loan,False,False,Waiting Period Too Long
OPP-000063,Tiago CNG - Sameer Swamy,LD-0000115,Retail,OUT02,,CON-009774,USR-052,Dealer Website,2023-09-28 17:23:02,7,7-Closed Lost,Lost,0,1,654775,2023-10-20,2023-10-30,2023-10-30 02:47:53,Bank Loan,True,False,Plan Postponed
OPP-000064,Altroz CNG - Srinivas Singh,LD-0000118,Retail,OUT07,,CON-009775,USR-180,OEM Website Lead,2023-09-27 22:11:40,7,7-Closed Lost,Lost,0,1,846557,2023-10-20,2023-10-10,2023-10-10 20:56:03,Bank Loan,False,False,Loan Rejected
OPP-000065,Altroz Petrol - Neha Naik,LD-0000121,Retail,OUT02,,CON-009776,USR-049,OEM Website Lead,2023-09-28 16:17:16,7,7-Closed Lost,Lost,0,1,812469,2023-10-28,2023-09-29,2023-09-29 08:43:26,Cash,True,False,Price / Discount
OPP-000066,Punch CNG - Aarav Nair,LD-0000125,Retail,OUT01,,CON-009777,USR-009,OEM Website Lead,2023-09-25 04:08:43,7,7-Closed Lost,Lost,0,2,1693144,2023-10-23,2023-10-12,2023-10-12 13:36:18,Cash,True,False,Bought Competitor - Maruti Suzuki
OPP-000067,Nexon EV - Mahesh Prasad,LD-0000129,Retail,OUT02,,CON-009778,USR-057,Walk-in,2023-09-28 10:41:23,7,7-Closed Lost,Lost,0,1,1398676,2023-10-26,2023-09-29,2023-09-29 05:48:40,Cash,False,False,Bought Competitor - Hyundai
OPP-000068,Safari Diesel - Raghu Raju,LD-0000137,Retail,OUT05,,CON-009779,USR-154,Walk-in,2023-09-25 05:08:46,7,7-Closed Lost,Lost,0,1,1556595,2023-10-24,2023-09-26,2023-09-26 23:27:09,Bank Loan,False,False,Loan Rejected
OPP-000069,Punch Petrol - Arun Patil,LD-0000138,Retail,OUT06,,CON-009780,USR-166,Walk-in,2023-09-26 17:33:56,6,6-Closed Won,Won,100,1,745986,2023-10-27,2023-10-25,2023-10-25 00:16:31,OEM Partner Finance,False,False,
OPP-000070,Punch CNG - Farhan Swamy,LD-0000140,Retail,OUT04,,CON-009781,USR-111,Social Media Ads,2023-09-30 06:24:53,3,3-Quotation,Open,40,1,663616,2023-10-20,,2023-10-09 16:58:15,Cash,False,False,
OPP-000071,Tiago Petrol - Akshata Acharya,LD-0000141,Retail,OUT04,,CON-009782,USR-121,Dealer Website,2023-09-30 10:36:37,7,7-Closed Lost,Lost,0,1,518578,2023-10-21,2023-10-03,2023-10-03 03:25:48,Bank Loan,False,False,Bought Competitor - Hyundai
OPP-000072,Nexon Diesel - Ravi Verma,LD-0000144,Retail,OUT02,,CON-009783,USR-049,Walk-in,2023-09-26 03:17:53,7,7-Closed Lost,Lost,0,1,1060772,2023-10-26,2023-10-07,2023-10-07 13:02:14,Bank Loan,False,False,Bought Competitor - Maruti Suzuki
OPP-000073,Tiago CNG - Nikhil Reddy,LD-0000145,Retail,OUT05,,CON-009784,USR-140,Walk-in,2023-09-27 16:18:14,7,7-Closed Lost,Lost,0,1,687830,2023-10-31,2023-10-01,2023-10-01 19:20:13,Bank Loan,False,False,Plan Postponed
OPP-000074,Tigor CNG - Shreya Gowda,LD-0000146,Retail,OUT03,,CON-009785,USR-083,OEM Website Lead,2023-09-27 19:05:12,6,6-Closed Won,Won,100,1,712522,2023-10-17,2023-11-23,2023-11-23 23:19:06,Bank Loan,False,False,
OPP-000075,Nexon Petrol - Arjun Pinto,LD-0000147,Retail,OUT04,,CON-009786,USR-117,Walk-in,2023-09-26 00:09:26,4,4-Negotiation,Open,60,1,988983,2023-10-20,,2023-10-12 12:16:11,Cash,False,False,
OPP-000076,Tiago Petrol - Mahesh Babu,LD-0000148,Retail,OUT04,,CON-009787,USR-111,Dealer Website,2023-09-30 09:36:34,7,7-Closed Lost,Lost,0,1,528414,2023-10-27,2023-10-11,2023-10-11 12:21:07,Bank Loan,False,False,Bought Competitor - Maruti Suzuki
OPP-000077,Tiago Petrol - Ritu D'Souza,LD-0000149,Retail,OUT01,,CON-009788,USR-020,Referral,2023-09-25 04:22:00,6,6-Closed Won,Won,100,1,575276,2023-10-25,2023-11-06,2023-11-06 21:30:59,Bank Loan,False,False,
OPP-000078,Tiago CNG - Harsha Kulkarni,LD-0000150,Retail,OUT01,,CON-009789,USR-026,Walk-in,2023-09-24 18:11:26,7,7-Closed Lost,Lost,0,1,758501,2023-10-25,2023-10-09,2023-10-09 22:17:33,Bank Loan,False,False,Waiting Period Too Long
OPP-000079,Tigor EV - Bhavya Hiremath,LD-0000151,Retail,OUT02,,CON-009790,USR-071,OEM Website Lead,2023-09-25 16:12:42,7,7-Closed Lost,Lost,0,1,1333330,2023-10-23,2023-11-13,2023-11-13 18:43:33,Bank Loan,False,False,Price / Discount
OPP-000080,Punch Petrol - Vidya Patil,LD-0000153,Retail,OUT05,,CON-009791,USR-149,Referral,2023-09-26 07:19:58,7,7-Closed Lost,Lost,0,1,589355,2023-10-24,2023-09-29,2023-09-29 08:04:42,Bank Loan,False,False,Bought Competitor - Hyundai
OPP-000081,Safari Diesel - Irfan Kamath,LD-0000155,Retail,OUT01,,CON-009792,USR-020,Walk-in,2023-09-25 18:50:43,7,7-Closed Lost,Lost,0,1,1886503,2023-10-24,2023-10-05,2023-10-05 06:59:39,Bank Loan,False,False,Bought Competitor - Hyundai
OPP-000082,Nexon Petrol - Vidya Singh,LD-0000156,Retail,OUT01,,CON-009793,USR-037,Dealer Website,2023-09-28 09:18:02,6,6-Closed Won,Won,100,1,859019,2023-10-26,2023-10-22,2023-10-22 01:36:06,OEM Partner Finance,False,False,
OPP-000083,Harrier Diesel - Pradeep Khan,LD-0000157,Retail,OUT05,,CON-009794,USR-140,Referral,2023-09-28 17:41:46,6,6-Closed Won,Won,100,1,1687035,2023-11-01,2023-10-22,2023-10-22 02:01:03,Bank Loan,False,False,
OPP-000084,Tiago Petrol - Lakshmi Gupta,LD-0000161,Retail,OUT03,,CON-009795,USR-100,Referral,2023-09-28 11:56:49,7,7-Closed Lost,Lost,0,1,522039,2023-10-18,2023-10-07,2023-10-07 06:26:09,Cash,True,False,Bought Competitor - Kia
OPP-000085,Nexon Petrol - Ashok Babu,LD-0000166,Retail,OUT02,,CON-009796,USR-071,Social Media Ads,2023-09-30 10:02:59,6,6-Closed Won,Won,100,1,1003469,2023-10-27,2023-10-25,2023-10-25 17:25:06,OEM Partner Finance,False,False,
OPP-000086,Altroz CNG - Pradeep Singh,LD-0000168,Retail,OUT06,,CON-009797,USR-169,Referral,2023-09-25 16:44:58,7,7-Closed Lost,Lost,0,1,799564,2023-10-16,2023-10-03,2023-10-03 17:13:40,Bank Loan,True,False,Price / Discount
OPP-000087,Tiago CNG - Sunil Acharya,LD-0000170,Retail,OUT02,,CON-009798,USR-049,Walk-in,2023-09-25 23:38:14,7,7-Closed Lost,Lost,0,1,657802,2023-10-30,2023-10-05,2023-10-05 02:20:31,Cash,False,False,Bought Competitor - Hyundai
OPP-000088,Punch Petrol - Neha Rao,LD-0000172,Retail,OUT06,,CON-009799,USR-169,Walk-in,2023-09-24 18:35:05,7,7-Closed Lost,Lost,0,1,704758,2023-10-14,2023-10-04,2023-10-04 10:50:25,OEM Partner Finance,False,False,Bought Competitor - Mahindra
OPP-000089,Tiago Petrol - Kavya Kumar,LD-0000175,Retail,OUT05,,CON-009800,USR-135,Walk-in,2023-09-24 18:16:31,6,6-Closed Won,Won,100,1,542016,2023-10-19,2023-10-10,2023-10-10 07:08:32,Bank Loan,True,False,
OPP-000090,Nexon Diesel - Tejas Iyer,LD-0000176,Retail,OUT01,,CON-009801,USR-016,Walk-in,2023-09-30 05:39:59,7,7-Closed Lost,Lost,0,1,1242890,2023-10-20,2023-10-01,2023-10-01 19:49:41,Bank Loan,False,False,Bought Competitor - Hyundai
OPP-000091,Tigor CNG - Irfan Poojary,LD-0000181,Retail,OUT04,,CON-009802,USR-113,Walk-in,2023-09-29 13:41:17,7,7-Closed Lost,Lost,0,1,783456,2023-10-22,2023-11-07,2023-11-07 14:16:56,Cash,False,False,Bought Competitor - Kia
OPP-000092,Tiago Petrol - Mohan Naik,LD-0000183,Retail,OUT04,,CON-009803,USR-117,Walk-in,2023-09-25 19:13:40,7,7-Closed Lost,Lost,0,1,572239,2023-10-27,2023-09-26,2023-09-26 20:20:22,Bank Loan,True,False,Plan Postponed
OPP-000093,Tiago Petrol - Suma Joshi,LD-0000184,Retail,OUT07,,CON-009804,USR-185,Walk-in,2023-09-27 21:19:50,6,6-Closed Won,Won,100,2,1253239,2023-10-31,2023-11-03,2023-11-03 00:07:50,Bank Loan,False,False,
OPP-000094,Punch CNG - Meghana Naik,LD-0000191,Retail,OUT03,,CON-009805,USR-100,Referral,2023-09-27 11:21:56,7,7-Closed Lost,Lost,0,1,800977,2023-10-25,2023-10-10,2023-10-10 21:45:25,Bank Loan,False,False,Price / Discount
OPP-000095,Altroz Petrol - Ashwini Agarwal,LD-0000194,Retail,OUT04,,CON-009806,USR-111,Walk-in,2023-09-24 19:44:40,7,7-Closed Lost,Lost,0,1,766915,2023-10-26,2023-10-03,2023-10-03 03:40:48,OEM Partner Finance,False,False,Bought Competitor - Hyundai
OPP-000096,Harrier Diesel - Mary Babu,LD-0000195,Retail,OUT04,,CON-009807,USR-111,Walk-in,2023-09-25 04:30:10,7,7-Closed Lost,Lost,0,1,1762698,2023-10-22,2023-10-05,2023-10-05 07:44:57,Bank Loan,False,False,Bought Competitor - Maruti Suzuki
OPP-000097,Altroz CNG - Rahul Hiremath,LD-0000196,Retail,OUT03,,CON-009808,USR-079,Walk-in,2023-09-24 21:14:06,7,7-Closed Lost,Lost,0,1,748191,2023-10-18,2023-09-25,2023-09-25 17:14:16,Bank Loan,False,False,Plan Postponed
