LeadID,CreatedOn,Channel,Source,OutletID,OwnerUserID,LeadName,CompanyName,AccountID,Mobile,Email,City,InterestedProductID,IsExistingCustomer,Status,FirstResponseOn,LastContactedOn,ConvertedOn,OpportunityID
LD-0000011,2023-09-23 07:05:28,Retail,Social Media Ads,OUT05,USR-149,Rashmi Desai,,,8322744601,,Mysuru,PRD21,False,Converted,2023-09-23 09:57:00,2023-09-24 09:18:13,2023-09-24 09:18:13,OPP-000007
LD-0000012,2023-09-23 07:31:23,Retail,Social Media Ads,OUT02,USR-063,Vinay Kini,,,7513075129,,Bengaluru,PRD16,False,Converted,2023-09-23 09:45:56,2023-09-25 08:40:46,2023-09-25 08:40:46,OPP-000008
LD-0000013,2023-09-23 08:08:10,Retail,Car Portal,OUT05,USR-154,Arun Poojary,,,8437068777,,Mysuru,PRD13,False,Lost,2023-09-23 10:10:27,2023-09-28 14:17:08,,
LD-0000014,2023-09-23 08:13:15,Retail,Car Portal,OUT07,USR-189,Zoya Verma,,,9702168431,,Mangaluru,PRD08,False,Unresponsive,2023-09-23 09:44:25,2023-10-19 02:39:55,,
LD-0000015,2023-09-23 08:23:46,Retail,Car Portal,OUT07,USR-185,Shashank Bhat,,,7121524296,shashank.bhat525@yahoo.co.in,Mangaluru,PRD14,False,Lost,2023-09-23 10:05:34,2023-10-10 13:18:14,,
LD-0000016,2023-09-23 08:40:57,Retail,Google Ads,OUT04,USR-125,Mohan Kamath,,,7733024483,,Bengaluru,PRD09,False,Converted,2023-09-23 10:47:16,2023-09-25 13:14:49,2023-09-25 13:14:49,OPP-000009
LD-0000017,2023-09-23 08:45:18,Retail,Car Portal,OUT07,USR-186,Asha Iyer,,,7842599953,asha.iyer63@gmail.com,Mangaluru,PRD09,False,Unresponsive,2023-09-23 09:45:39,2023-10-10 13:12:43,,
LD-0000018,2023-09-23 08:48:03,Retail,Social Media Ads,OUT06,USR-164,Vijay Joshi,,,9288599660,vijay.joshi285@rediffmail.com,Hubballi,PRD13,False,Unresponsive,2023-09-23 09:46:20,2023-10-22 21:46:05,,
LD-0000019,2023-09-23 09:44:05,Retail,Google Ads,OUT05,USR-146,Meghana Shetty,,,9703605132,meghana.shetty930@yahoo.co.in,Mysuru,PRD09,False,Unresponsive,2023-09-23 10:13:19,2023-10-09 11:37:08,,
LD-0000020,2023-09-23 09:51:39,Retail,Dealer Website,OUT03,USR-081,Rajesh Gowda,,,8707490491,,Bengaluru,PRD03,False,Converted,2023-09-23 10:04:33,2023-09-29 09:02:23,2023-09-29 09:02:23,OPP-000010
LD-0000021,2023-09-23 10:06:55,Retail,Walk-in,OUT06,USR-169,Mary Singh,,,9336855982,,Hubballi,PRD19,False,Converted,2023-09-23 10:06:55,2023-09-28 20:06:34,2023-09-28 20:06:34,OPP-000011
LD-0000022,2023-09-23 10:07:13,Retail,Referral,OUT02,USR-057,Keerthi Pinto,,,8648417100,,Bengaluru,PRD08,False,Unresponsive,2023-09-23 14:26:02,2023-09-30 06:26:01,,
LD-0000023,2023-09-23 10:10:07,Retail,Referral,OUT03,USR-095,Chaitra Chandra,,,9321566442,,Bengaluru,PRD01,False,Converted,2023-09-23 10:24:34,2023-09-23 15:35:29,2023-09-23 15:35:29,OPP-000012
LD-0000024,2023-09-23 10:23:49,Retail,Walk-in,OUT02,USR-057,Zoya Shenoy,,,7187524869,,Bengaluru,PRD01,False,Converted,2023-09-23 10:23:49,2023-09-27 20:59:22,2023-09-27 20:59:22,OPP-000013
LD-0000025,2023-09-23 10:25:47,Retail,Walk-in,OUT05,USR-143,Lakshmi Kulkarni,,,8234933765,,Mysuru,PRD19,False,Converted,2023-09-23 10:25:47,2023-09-25 12:50:51,2023-09-25 12:50:51,OPP-000014
LD-0000026,2023-09-23 10:28:06,Retail,Walk-in,OUT07,USR-185,Rashmi Krishnan,,,7214295313,rashmi.krishnan378@gmail.com,Mangaluru,PRD01,False,Converted,2023-09-23 10:28:06,2023-09-23 14:03:27,2023-09-23 14:03:27,OPP-000015
LD-0000027,2023-09-23 10:32:50,Retail,OEM Website Lead,OUT03,USR-079,Chaitra Gowda,,,9481012160,,Bengaluru,PRD09,False,Converted,2023-09-23 11:23:47,2023-09-29 10:48:18,2023-09-29 10:48:18,OPP-000016
LD-0000028,2023-09-23 10:38:30,Retail,Dealer Website,OUT01,USR-023,Ravi Krishnan,,,6445932631,,Bengaluru,PRD01,False,Converted,2023-09-23 12:28:25,2023-09-24 16:50:31,2023-09-24 16:50:31,OPP-000017
LD-0000029,2023-09-23 10:45:03,Retail,Google Ads,OUT02,USR-057,Anjali Nair,,,8263609018,,Bengaluru,PRD03,False,Contacted,2026-09-24 10:29:18,2026-09-24 10:29:18,,
LD-0000030,2023-09-23 10:54:20,Retail,Dealer Website,OUT03,USR-095,Vijay Nair,,,9701972591,vijay.nair87@outlook.com,Bengaluru,PRD14,False,Converted,2023-09-23 11:34:27,2023-09-26 15:45:00,2023-09-26 15:45:00,OPP-000018
LD-0000031,2023-09-23 10:55:07,Retail,Car Portal,OUT01,USR-012,Pavan Gupta,,,6247244319,pavan.gupta162@yahoo.co.in,Bengaluru,PRD02,False,Converted,2023-09-23 11:47:39,2023-09-26 20:50:54,2023-09-26 20:50:54,OPP-000019
LD-0000032,2023-09-23 11:18:04,Retail,Dealer Website,OUT07,USR-185,Anil Murthy,,,8285468726,,Mangaluru,PRD13,False,Lost,2023-09-23 12:28:27,2023-09-26 09:47:58,,
LD-0000033,2023-09-23 11:36:02,Retail,Social Media Ads,OUT07,USR-180,Pradeep Reddy,,,9613419256,,Mangaluru,PRD02,False,Unresponsive,2023-09-23 11:46:22,2023-10-13 14:41:50,,
LD-0000034,2023-09-23 11:40:30,Retail,Walk-in,OUT06,USR-169,Pooja Swamy,,,8627422199,,Hubballi,PRD01,False,Converted,2023-09-23 11:40:30,2023-09-23 14:29:55,2023-09-23 14:29:55,OPP-000020
LD-0000035,2023-09-23 11:55:59,Retail,Walk-in,OUT07,USR-186,Priya Gowda,,,9868179780,priya.gowda72@outlook.com,Mangaluru,PRD16,False,Converted,2023-09-23 11:55:59,2023-09-23 15:31:13,2023-09-23 15:31:13,OPP-000021
LD-0000036,2023-09-23 12:08:37,Retail,Walk-in,OUT04,USR-109,Srinivas Kamath,,,9858393450,srinivas.kamath2@outlook.com,Bengaluru,PRD04,False,Converted,2023-09-23 12:08:37,2023-09-23 15:58:23,2023-09-23 15:58:23,OPP-000022
LD-0000037,2023-09-23 12:08:43,Retail,Exchange Mela / Event,OUT07,USR-186,Rajesh Shenoy,,,9391110901,rajesh.shenoy112@gmail.com,Mangaluru,PRD11,False,Lost,2023-09-23 12:08:43,2023-10-08 06:43:59,,
LD-0000038,2023-09-23 12:14:05,Retail,Walk-in,OUT02,USR-049,Vani Naik,,,9154368406,vani.naik834@gmail.com,Bengaluru,PRD09,False,Converted,2023-09-23 12:14:05,2023-09-23 14:44:57,2023-09-23 14:44:57,OPP-000023
LD-0000039,2023-09-23 12:16:59,Retail,Google Ads,OUT01,USR-023,Madhu Babu,,,8609608907,,Bengaluru,PRD11,False,New,,,,
LD-0000040,2023-09-23 12:22:17,Retail,OEM Website Lead,OUT01,USR-023,Sachin Singh,,,7136490317,,Bengaluru,PRD04,False,Lost,2023-09-23 12:38:40,2023-09-26 11:04:29,,
LD-0000041,2023-09-23 12:25:56,Retail,Walk-in,OUT06,USR-175,Mithun Sharma,,,9721846049,,Hubballi,PRD08,False,Converted,2023-09-23 12:25:56,2023-09-28 16:46:18,2023-09-28 16:46:18,OPP-000024
LD-0000042,2023-09-23 12:28:29,Retail,Dealer Website,OUT03,USR-091,Harish Verma,,,9951644822,,Bengaluru,PRD16,False,Lost,2023-09-23 12:58:15,2023-09-27 04:05:11,,
LD-0000043,2023-09-23 12:28:56,Retail,Walk-in,OUT06,USR-164,Vikram Gowda,,,9551112382,vikram.gowda893@yahoo.co.in,Hubballi,PRD13,False,Converted,2023-09-23 12:28:56,2023-09-27 22:37:50,2023-09-27 22:37:50,OPP-000025
LD-0000044,2023-09-23 12:39:08,Retail,Walk-in,OUT06,USR-169,Ravi Jain,,,9791178955,,Hubballi,PRD01,False,Converted,2023-09-23 12:39:08,2023-09-24 06:07:16,2023-09-24 06:07:16,OPP-000026
LD-0000045,2023-09-23 12:43:40,Retail,Walk-in,OUT03,USR-099,Ravi Kamath,,,8252107557,ravi.kamath194@outlook.com,Bengaluru,PRD03,False,Converted,2023-09-23 12:43:40,2023-09-28 02:46:44,2023-09-28 02:46:44,OPP-000027
LD-0000046,2023-09-23 13:02:56,Retail,Walk-in,OUT05,USR-154,Vani Angadi,,,9307162794,vani.angadi190@rediffmail.com,Mysuru,PRD01,False,Lost,2023-09-23 13:02:56,2023-10-09 09:00:26,,
LD-0000047,2023-09-23 13:06:56,Retail,Walk-in,OUT02,USR-049,Srinivas Iyer,,,6830440399,srinivas.iyer26@gmail.com,Bengaluru,PRD05,False,Converted,2023-09-23 13:06:56,2023-09-23 14:23:26,2023-09-23 14:23:26,OPP-000028
LD-0000048,2023-09-23 13:09:54,Retail,Walk-in,OUT07,USR-180,Vani Angadi,,,9022602881,,Mangaluru,PRD19,False,Converted,2023-09-23 13:09:54,2023-09-23 15:30:30,2023-09-23 15:30:30,OPP-000029
LD-0000049,2023-09-23 13:35:18,Retail,Walk-in,OUT06,USR-175,Madhu Krishnan,,,6101268664,,Hubballi,PRD08,False,Converted,2023-09-23 13:35:18,2023-09-23 15:44:29,2023-09-23 15:44:29,OPP-000030
LD-0000050,2023-09-23 13:40:32,Retail,Referral,OUT01,USR-026,Vijay D'Souza,,,8252968725,,Bengaluru,PRD09,False,Converted,2023-09-23 17:29:32,2023-09-27 07:16:05,2023-09-27 07:16:05,OPP-000031
LD-0000051,2023-09-23 13:51:50,Retail,Google Ads,OUT05,USR-135,Vidya Angadi,,,6654379410,vidya.angadi570@gmail.com,Mysuru,PRD09,False,Lost,2023-09-23 16:33:47,2023-09-25 08:44:36,,
LD-0000052,2023-09-23 13:53:09,Retail,OEM Website Lead,OUT02,USR-057,Ashok Krishnan,,,6287189312,,Bengaluru,PRD13,False,Lost,2023-09-23 14:02:25,2023-10-09 16:57:52,,
LD-0000053,2023-09-23 14:05:57,Retail,OEM Website Lead,OUT06,USR-175,Vijay Iyer,,,9360380002,vijay.iyer539@outlook.com,Hubballi,PRD08,False,Converted,2023-09-23 14:26:45,2023-09-29 10:04:22,2023-09-29 10:04:22,OPP-000032
LD-0000054,2023-09-23 14:15:20,Retail,Referral,OUT04,USR-111,Rekha Kamath,,,9267993355,,Bengaluru,PRD02,False,Converted,2023-09-23 14:42:08,2023-09-24 21:54:08,2023-09-24 21:54:08,OPP-000033
LD-0000055,2023-09-23 14:25:50,Retail,Walk-in,OUT05,USR-140,Anjali Kamath,,,9439102357,anjali.kamath288@gmail.com,Mysuru,PRD14,False,Converted,2023-09-23 14:25:50,2023-09-27 18:46:38,2023-09-27 18:46:38,OPP-000034
LD-0000056,2023-09-23 14:58:07,Retail,Walk-in,OUT06,USR-175,Arun Kumar,,,9361621482,arun.kumar852@rediffmail.com,Hubballi,PRD13,False,Unresponsive,2023-09-23 14:58:07,2023-09-27 17:16:39,,
LD-0000057,2023-09-23 15:05:04,Retail,Walk-in,OUT02,USR-049,Nayana Poojary,,,6916830315,nayana.poojary439@outlook.com,Bengaluru,PRD11,False,Lost,2023-09-23 15:05:04,2023-10-08 00:15:00,,
LD-0000058,2023-09-23 15:20:55,Retail,Social Media Ads,OUT05,USR-140,Prajwal Reddy,,,7148545485,prajwal.reddy113@gmail.com,Mysuru,PRD02,False,Converted,2023-09-23 16:08:33,2023-09-27 08:51:02,2023-09-27 08:51:02,OPP-000035
LD-0000059,2023-09-23 15:24:01,Retail,Referral,OUT02,USR-071,Aditi Joshi,,,9734311685,aditi.joshi895@gmail.com,Bengaluru,PRD08,False,Lost,2023-09-23 16:48:08,2023-10-01 22:14:40,,
LD-0000060,2023-09-23 15:28:09,Retail,Walk-in,OUT02,USR-052,Aarav Kumar,,,9538374890,aarav.kumar382@gmail.com,Bengaluru,PRD11,False,Converted,2023-09-23 15:28:09,2023-09-25 12:24:41,2023-09-25 12:24:41,OPP-000036
LD-0000061,2023-09-23 15:38:54,Retail,Google Ads,OUT06,USR-164,Tejas Gupta,,,9064730725,tejas.gupta927@yahoo.co.in,Hubballi,PRD13,False,Converted,2023-09-23 16:01:38,2023-09-24 00:37:59,2023-09-24 00:37:59,OPP-000037
LD-0000062,2023-09-23 15:38:58,Retail,OEM Website Lead,OUT03,USR-081,Mary Poojary,,,6652970773,,Bengaluru,PRD13,False,Contacted,2026-09-24 10:11:16,2026-09-24 10:11:16,,
LD-0000063,2023-09-23 15:41:02,Retail,OEM Website Lead,OUT04,USR-113,Mithun Poojary,,,9086643699,,Bengaluru,PRD02,False,Converted,2023-09-23 15:57:53,2023-09-25 22:01:54,2023-09-25 22:01:54,OPP-000038
LD-0000064,2023-09-23 15:55:36,Retail,Referral,OUT05,USR-154,Ashok Rao,,,8973239663,,Mysuru,PRD09,False,Lost,2023-09-23 16:13:19,2023-10-12 10:16:54,,
LD-0000065,2023-09-23 16:05:23,Retail,Google Ads,OUT03,USR-100,Manjunath Shenoy,,,7673340668,,Bengaluru,PRD13,False,Unresponsive,2023-09-23 17:00:18,2023-10-15 14:21:53,,
LD-0000066,2023-09-23 16:09:12,Retail,Social Media Ads,OUT01,USR-026,Chaitra Gowda,,,8586041536,chaitra.gowda700@gmail.com,Bengaluru,PRD13,False,Lost,2023-09-23 16:49:08,2023-10-05 11:02:39,,
LD-0000067,2023-09-23 16:10:50,Retail,Walk-in,OUT01,USR-026,Sneha Kini,,,7455877367,,Bengaluru,PRD09,False,Lost,2023-09-23 16:10:50,2023-10-03 05:05:03,,
LD-0000068,2023-09-23 16:19:10,Retail,Social Media Ads,OUT02,USR-057,Manjunath Agarwal,,,8899802942,,Bengaluru,PRD19,False,Converted,2023-09-23 16:24:50,2023-09-24 11:51:00,2023-09-24 11:51:00,OPP-000039
LD-0000069,2023-09-23 16:26:37,Retail,OEM Website Lead,OUT03,USR-100,Suma Kamath,,,9406497440,,Bengaluru,PRD08,False,Converted,2023-09-23 16:39:50,2023-09-26 11:41:40,2023-09-26 11:41:40,OPP-000040
LD-0000070,2023-09-23 16:32:57,Retail,Social Media Ads,OUT01,USR-020,Chetan D'Souza,,,9418872446,,Bengaluru,PRD21,False,Lost,2023-09-23 17:45:30,2023-10-03 22:38:44,,
LD-0000071,2023-09-23 16:38:29,Retail,Walk-in,OUT06,USR-172,Chaitra Murthy,,,9099857636,chaitra.murthy850@gmail.com,Hubballi,PRD05,False,Converted,2023-09-23 16:38:29,2023-09-27 22:49:28,2023-09-27 22:49:28,OPP-000041
LD-0000072,2023-09-23 16:49:04,Retail,Google Ads,OUT04,USR-128,Vinod Joshi,,,8120378826,vinod.joshi644@yahoo.co.in,Bengaluru,PRD08,False,Qualified,2023-09-23 18:09:44,2023-09-29 03:30:06,,
LD-0000073,2023-09-23 16:50:28,Retail,Referral,OUT01,USR-012,Vinod Gowda,,,9666918864,,Bengaluru,PRD02,False,Lost,2023-09-23 18:44:41,2023-09-28 00:12:33,,
LD-0000074,2023-09-23 16:56:49,Retail,Walk-in,OUT02,USR-057,Srinivas Sharma,,,8421198570,,Bengaluru,PRD08,False,Converted,2023-09-23 16:56:49,2023-09-23 21:33:51,2023-09-23 21:33:51,OPP-000042
LD-0000075,2023-09-23 17:12:20,Retail,OEM Website Lead,OUT01,USR-026,Rahul Singh,,,8833621101,,Bengaluru,PRD13,False,Lost,2023-09-23 17:56:22,2023-10-08 21:25:21,,
LD-0000076,2023-09-23 17:16:37,Retail,Walk-in,OUT05,USR-143,Anjali Shetty,,,8322940053,,Mysuru,PRD08,False,Lost,2023-09-23 17:16:37,2023-09-24 21:26:25,,
LD-0000077,2023-09-23 17:41:49,Retail,Car Portal,OUT02,USR-071,Mahesh Menon,,,9425825003,mahesh.menon110@gmail.com,Bengaluru,PRD01,False,Lost,2023-09-23 17:48:28,2023-10-05 18:13:41,,
LD-0000078,2023-09-23 17:42:46,Retail,Walk-in,OUT02,USR-057,Swathi Kulkarni,,,7916155679,,Bengaluru,PRD01,False,Converted,2023-09-23 17:42:46,2023-09-23 23:34:52,2023-09-23 23:34:52,OPP-000043
LD-0000079,2023-09-23 17:47:54,Retail,Google Ads,OUT07,USR-185,Pavan Sharma,,,6924910122,pavan.sharma709@rediffmail.com,Mangaluru,PRD05,False,New,,,,
LD-0000080,2023-09-23 17:49:38,Retail,Referral,OUT01,USR-034,Pradeep Kini,,,9275707129,pradeep.kini747@gmail.com,Bengaluru,PRD01,False,Converted,2023-09-23 22:59:35,2023-09-26 22:46:42,2023-09-26 22:46:42,OPP-000044
LD-0000081,2023-09-23 17:52:44,Retail,OEM Website Lead,OUT04,USR-128,Imran Babu,,,7576079384,imran.babu664@gmail.com,Bengaluru,PRD01,False,Converted,2023-09-23 18:58:01,2023-09-26 04:31:58,2023-09-26 04:31:58,OPP-000045
LD-0000082,2023-09-23 17:59:55,Retail,Google Ads,OUT03,USR-099,Akshata Jain,,,8917096304,,Bengaluru,PRD09,False,Lost,2023-09-23 18:32:46,2023-09-25 05:47:45,,
LD-0000083,2023-09-23 18:00:25,Retail,Walk-in,OUT01,USR-009,Vani Raju,,,7167579667,,Bengaluru,PRD08,False,Lost,2023-09-23 18:00:25,2023-10-03 18:13:02,,
LD-0000084,2023-09-23 18:08:13,Retail,OEM Website Lead,OUT04,USR-111,Shilpa D'Souza,,,9944513880,shilpa.dsouza255@rediffmail.com,Bengaluru,PRD09,False,Converted,2023-09-23 18:30:18,2023-09-28 21:20:57,2023-09-28 21:20:57,OPP-000046
LD-0000085,2023-09-23 18:18:08,Retail,Google Ads,OUT07,USR-185,Farhan Sharma,,,6057863596,farhan.sharma157@yahoo.co.in,Mangaluru,PRD13,False,Lost,2023-09-23 19:34:18,2023-09-30 16:50:37,,
LD-0000086,2023-09-23 18:28:07,Retail,Walk-in,OUT02,USR-052,Kavya Pinto,,,9511402139,kavya.pinto725@outlook.com,Bengaluru,PRD21,False,Converted,2023-09-23 18:28:07,2023-09-24 12:25:55,2023-09-24 12:25:55,OPP-000047
LD-0000087,2023-09-23 18:33:02,Retail,Walk-in,OUT06,USR-172,Kiran Fernandes,,,7820280395,kiran.fernandes496@yahoo.co.in,Hubballi,PRD01,False,Converted,2023-09-23 18:33:02,2023-09-23 21:38:39,2023-09-23 21:38:39,OPP-000048
LD-0000088,2023-09-23 18:49:09,Retail,Walk-in,OUT04,USR-117,Ritu Shetty,,,8914974439,,Bengaluru,PRD08,False,Converted,2023-09-23 18:49:09,2023-09-27 05:52:05,2023-09-27 05:52:05,OPP-000049
LD-0000089,2023-09-23 18:50:49,Retail,Walk-in,OUT06,USR-172,Sunil Pinto,,,9945593380,sunil.pinto607@gmail.com,Hubballi,PRD13,False,Converted,2023-09-23 18:50:49,2023-09-26 06:54:30,2023-09-26 06:54:30,OPP-000050
LD-0000090,2023-09-23 18:59:37,Retail,Walk-in,OUT04,USR-128,Madhu Sharma,,,9198832046,,Bengaluru,PRD13,False,Lost,2023-09-23 18:59:37,2023-09-29 22:27:00,,
LD-0000091,2023-09-23 19:03:14,Retail,OEM Website Lead,OUT03,USR-081,Arjun Raju,,,9881315869,arjun.raju529@gmail.com,Bengaluru,PRD02,False,Converted,2023-09-24 09:42:16,2023-09-29 19:24:50,2023-09-29 19:24:50,OPP-000051
LD-0000092,2023-09-23 19:03:23,Retail,Referral,OUT01,USR-026,Shreya Raju,,,8618053076,,Bengaluru,PRD16,False,Converted,2023-09-23 20:52:33,2023-09-26 06:26:18,2023-09-26 06:26:18,OPP-000052
LD-0000093,2023-09-23 19:05:48,Retail,Google Ads,OUT04,USR-121,Ritu Hegde,,,6254074343,,Bengaluru,PRD08,False,Unresponsive,2023-09-24 10:11:17,2023-10-10 12:30:24,,
LD-0000094,2023-09-23 19:13:05,Retail,Car Portal,OUT01,USR-012,Pavan Hiremath,,,9773350772,,Bengaluru,PRD01,False,Lost,2023-09-24 09:52:28,2023-10-11 08:00:41,,
LD-0000095,2023-09-23 19:13:39,Retail,Google Ads,OUT06,USR-166,Ravi Chandra,,,9734679347,,Hubballi,PRD08,False,Converted,2023-09-24 09:43:59,2023-09-25 14:57:37,2023-09-25 14:57:37,OPP-000053
LD-0000096,2023-09-23 19:18:02,Retail,Exchange Mela / Event,OUT04,USR-125,Ayesha Kamath,,,9632022329,ayesha.kamath642@gmail.com,Bengaluru,PRD08,False,Lost,2023-09-23 19:18:02,2023-09-27 10:05:15,,
LD-0000097,2023-09-23 19:23:39,Retail,Walk-in,OUT01,USR-012,Rashmi Murthy,,,7961586211,rashmi.murthy645@gmail.com,Bengaluru,PRD08,False,Converted,2023-09-23 19:23:39,2023-09-28 20:22:53,2023-09-28 20:22:53,OPP-000054
LD-0000098,2023-09-23 19:24:57,Retail,Walk-in,OUT02,USR-071,Shreya Kamath,,,9986673938,,Bengaluru,PRD02,False,Converted,2023-09-23 19:24:57,2023-09-26 06:02:07,2023-09-26 06:02:07,OPP-000055
LD-0000099,2023-09-23 19:51:22,Retail,Social Media Ads,OUT02,USR-057,Asha Bhat,,,7511614005,asha.bhat981@yahoo.co.in,Bengaluru,PRD08,False,Lost,2023-09-24 10:51:12,2023-10-13 22:27:03,,
LD-0000100,2023-09-23 20:04:37,Retail,OEM Website Lead,OUT07,USR-189,Bhavya Agarwal,,,9386298583,,Mangaluru,PRD01,False,Unresponsive,2023-09-24 09:46:28,2023-10-20 06:01:46,,
LD-0000101,2023-09-23 20:08:39,Retail,Google Ads,OUT04,USR-117,Vikram Murthy,,,7342451581,,Bengaluru,PRD05,False,Lost,2023-09-24 10:05:41,2023-10-07 07:48:38,,
LD-0000102,2023-09-23 20:08:51,Retail,Dealer Website,OUT06,USR-172,Abhishek Shenoy,,,8957830563,,Hubballi,PRD13,False,Converted,2023-09-24 09:57:09,2023-09-29 04:23:19,2023-09-29 04:23:19,OPP-000056
LD-0000103,2023-09-23 20:09:49,Retail,Social Media Ads,OUT03,USR-100,Chaitra Shetty,,,9718924827,,Bengaluru,PRD08,False,Unresponsive,2023-09-24 09:45:44,2023-10-09 12:19:11,,
LD-0000104,2023-09-23 20:10:46,Retail,OEM Website Lead,OUT04,USR-128,Rohan Swamy,,,8707469089,rohan.swamy476@outlook.com,Bengaluru,PRD02,False,Lost,2023-09-24 10:26:57,2023-10-01 06:13:10,,
LD-0000105,2023-09-23 20:33:50,Retail,OEM Website Lead,OUT05,USR-143,Vinod Krishnan,,,9129244707,vinod.krishnan390@rediffmail.com,Mysuru,PRD13,False,Converted,2023-09-24 10:56:53,2023-09-29 08:05:05,2023-09-29 08:05:05,OPP-000057
LD-0000106,2023-09-23 20:35:58,Retail,Car Portal,OUT06,USR-172,Sandeep Sharma,,,6417666310,sandeep.sharma418@gmail.com,Hubballi,PRD13,False,Lost,2023-09-24 10:09:58,2023-10-04 04:01:56,,
LD-0000107,2023-09-23 20:40:12,Retail,Social Media Ads,OUT05,USR-143,Anil Nair,,,8207797163,,Mysuru,PRD09,False,Qualified,2023-09-24 10:09:01,2023-10-02 13:39:15,,
LD-0000108,2023-09-23 20:57:43,Retail,Dealer Website,OUT02,USR-067,Anita Fernandes,,,9520107458,anita.fernandes720@gmail.com,Bengaluru,PRD14,False,Lost,2023-09-24 10:11:01,2023-10-13 09:56:12,,
LD-0000109,2023-09-23 21:03:12,Retail,Google Ads,OUT01,USR-020,Prajwal D'Souza,,,9086393940,,Bengaluru,PRD13,False,Converted,2023-09-24 10:08:20,2023-09-29 07:02:43,2023-09-29 07:02:43,OPP-000058
LD-0000110,2023-09-23 21:13:40,Retail,Social Media Ads,OUT07,USR-193,Chetan Swamy,,,6661218993,,Mangaluru,PRD02,False,Converted,2023-09-24 09:41:11,2023-09-24 17:12:37,2023-09-24 17:12:37,OPP-000059
LD-0000111,2023-09-23 22:34:15,Retail,Dealer Website,OUT01,USR-034,Aarav Angadi,,,8677601111,aarav.angadi394@yahoo.co.in,Bengaluru,PRD03,False,Lost,2023-09-24 09:46:57,2023-10-05 17:15:19,,
LD-0000112,2023-09-23 22:39:54,Retail,Social Media Ads,OUT02,USR-049,Pavan Shetty,,,9270326717,,Bengaluru,PRD08,False,Converted,2023-09-24 09:54:56,2023-09-25 16:58:10,2023-09-25 16:58:10,OPP-000060
LD-0000113,2023-09-23 22:42:57,Retail,Google Ads,OUT01,USR-026,Pooja Kulkarni,,,7834061070,pooja.kulkarni962@yahoo.co.in,Bengaluru,PRD01,False,Converted,2023-09-24 09:51:15,2023-09-24 23:39:03,2023-09-24 23:39:03,OPP-000061
