ContactID,CustomerType,AccountID,FullName,Designation,IsDecisionMaker,Mobile,Email,City,OwnerUserID,CreatedOn
CON-000065,Business,ACC-00030,Amit Verma,Operations Head,True,8436817644,amit.verma@nammafinance.co.in,Bengaluru,USR-197,2024-07-09 05:04:54
CON-000066,Business,ACC-00030,Neha Agarwal,Procurement Manager,True,8505118240,neha@nammafinance.co.in,Bengaluru,USR-197,2024-06-11 05:40:16
CON-000067,Business,ACC-00030,Bharath Naik,Owner / Director,True,7777804451,,Bengaluru,USR-197,2024-04-18 23:34:35
CON-000068,Business,ACC-00031,Meghana Chandra,Fleet Manager,False,9900584557,meghana@nammafinance.co.in,Belagavi,USR-199,2024-09-27 00:02:40
CON-000069,Business,ACC-00031,Swathi Verma,Owner / Director,True,6180123128,,Belagavi,USR-199,2024-10-28 13:34:45
CON-000070,Business,ACC-00031,Rohan Pinto,Owner / Director,True,6515165806,rohan@nammafinance.co.in,Belagavi,USR-199,2024-10-24 00:57:58
CON-000071,Business,ACC-00031,Deepa Pinto,Procurement Manager,True,6018896834,deepa.pinto@nammafinance.co.in,Belagavi,USR-199,2024-09-26 14:00:14
CON-000072,Business,ACC-00032,Manoj Singh,Owner / Director,True,8722829417,manoj@nammafinance.co.in,Shivamogga,USR-197,2024-07-07 15:32:21
CON-000073,Business,ACC-00032,Aditi Hegde,Transport Manager,False,8711911003,aditi.hegde@nammafinance.co.in,Shivamogga,USR-197,2024-07-03 20:10:44
CON-000074,Business,ACC-00032,Sanjay Sharma,Finance Controller,True,902259532,sanjay@nammafinance.co.in,Shivamogga,USR-197,2024-09-22 02:22:02
CON-000075,Business,ACC-00033,Sunil Khan,Admin Head,False,9449346743,sunil@nammafinance.co.in,Bengaluru,USR-198,2025-07-30 15:09:37
CON-000076,Business,ACC-00033,Mohan Bhat,Procurement Manager,True,8200544398,mohan@nammafinance.co.in,Bengaluru,USR-198,2025-06-17 16:29:21
CON-000077,Business,ACC-00033,Asha Desai,Transport Manager,False,9072932916,asha.desai@nammafinance.co.in,Bengaluru,USR-198,2025-07-29 06:05:18
CON-000078,Business,ACC-00034,Ritu Prasad,Admin Head,False,9045993802,ritu.prasad@nammafinance.co.in,Belagavi,USR-197,2025-02-01 13:42:24
CON-000079,Business,ACC-00035,Varun Krishnan,Transport Manager,False,6285971855,varun.krishnan@nammafinance.co.in,Belagavi,USR-200,2025-07-30 02:10:39
CON-000080,Business,ACC-00036,Rashmi D'Souza,Admin Head,False,8610448605,rashmi@vegahealthcareproducts.co.in,Mangaluru,USR-202,2021-01-02 12:54:34
CON-000081,Business,ACC-00036,Shashank Kumar,Transport Manager,False,9293725536,shashank.kumar@vegahealthcareproducts.co.in,Mangaluru,USR-202,2021-02-02 01:47:04
CON-000082,Business,ACC-00036,Nikhil Patil,Operations Head,True,0998999282,nikhil@vegahealthcareproducts.co.in,Mangaluru,USR-202,2021-02-22 15:58:27
CON-000083,Business,ACC-00036,Vinay Prasad,Owner / Director,True,7229935118,vinay.prasad@vegahealthcareproducts.co.in,Mangaluru,USR-202,2021-01-21 08:13:41
CON-000084,Business,ACC-00036,Imran Poojary,Admin Head,False,9876806704,,Mangaluru,USR-202,2021-01-10 21:28:37
CON-000085,Business,ACC-00036,Sunil Kamath,Operations Head,True,8446837372,sunil.kamath@vegahealthcareproducts.co.in,Mangaluru,USR-202,2020-12-21 18:21:28
CON-000086,Business,ACC-00037,Rajesh Agarwal,Fleet Manager,False,8083472444,rajesh.agarwal@vegahealthcareproducts.co.in,Bengaluru,USR-202,2022-07-27 05:31:16
CON-000087,Business,ACC-00037,Sanjay D'Souza,Facilities Manager,False,8520178515,sanjay.dsouza@vegahealthcareproducts.co.in,Bengaluru,USR-202,2022-08-04 22:23:41
CON-000088,Business,ACC-00038,Rajesh Krishnan,Transport Manager,False,9551520222,rajesh@vegapolymers.in,Bengaluru,USR-214,2021-09-25 20:30:03
CON-000089,Business,ACC-00039,Bhavya Shenoy,Owner / Director,True,8712846208,bhavya@vegahealthcareproducts.co.in,Tumkur,USR-202,2022-01-27 07:45:30
CON-000090,Business,ACC-00039,Karthik Rao,Facilities Manager,False,9013213288,karthik.rao@vegahealthcareproducts.co.in,Tumkur,USR-202,2022-03-31 20:52:42
CON-000091,Business,ACC-00040,Gautam Bhat,Finance Controller,True,6692834434,gautam.bhat@galaxycabs.co.in,Bengaluru,USR-208,2020-11-02 00:49:54
CON-000092,Business,ACC-00040,Shreya Rao,Admin Head,False,6989168133,shreya.rao@galaxycabs.co.in,Bengaluru,USR-208,2021-02-19 19:44:12
CON-000093,Business,ACC-00041,Manjunath Desai,Finance Controller,True,9623341754,manjunath@galaxycabs.co.in,Davanagere,USR-206,2021-07-24 23:26:19
CON-000094,Business,ACC-00041,Amit Desai,Owner / Director,True,9081415981,amit.desai@galaxycabs.co.in,Davanagere,USR-206,2021-06-13 10:26:55
CON-000095,Business,ACC-00042,Vijay Raju,Procurement Manager,True,6680937480,vijay@galaxycabs.in,Bengaluru,USR-202,2022-08-08 20:28:52
CON-000096,Business,ACC-00042,Lakshmi Reddy,Finance Controller,True,9838570509,lakshmi.reddy@galaxycabs.in,Bengaluru,USR-202,2022-09-05 12:14:40
CON-000097,Business,ACC-00043,Harsha Pai,Procurement Manager,True,7658357891,harsha.pai@omkarpharmaceuticalslt.in,Davanagere,USR-197,2022-10-14 13:16:07
CON-000098,Business,ACC-00043,Ashok Acharya,Admin Head,False,9321519739,ashok@omkarpharmaceuticalslt.in,Davanagere,USR-197,2022-11-08 03:55:33
CON-000099,Business,ACC-00044,Pooja Kamath,Procurement Manager,True,6796649507,,Mangalore,USR-198,2024-01-29 22:35:10
CON-000100,Business,ACC-00045,Irfan Desai,Transport Manager,False,8593695487,irfan.desai@omkarconstructions.co.in,Davanagere,USR-197,2023-07-12 05:54:56
CON-000101,Business,ACC-00046,Tejas Gupta,Procurement Manager,True,7592532819,tejas@omkarprecisioncomponen.in,Shivamogga,USR-213,2024-06-08 16:18:07
CON-000102,Business,ACC-00046,Gautam Pai,Procurement Manager,True,8641357420,gautam@omkarprecisioncomponen.in,Shivamogga,USR-213,2024-07-08 16:30:59
CON-000103,Business,ACC-00046,Sandeep Agarwal,Facilities Manager,False,8574187021,sandeep.agarwal@omkarprecisioncomponen.in,Shivamogga,USR-213,2024-04-30 16:04:47
CON-000104,Business,ACC-00047,Arun Reddy,Fleet Manager,False,9810791927,arun.reddy@yashasbuilders.co.in,Bengaluru,USR-200,2023-04-16 16:36:29
CON-000105,Business,ACC-00047,Raghu Prasad,Transport Manager,False,9212812226,raghu.prasad@yashasbuilders.co.in,Bengaluru,USR-200,2023-04-12 09:03:01
CON-000106,Business,ACC-00047,Prajwal Nair,Operations Head,True,9080119038,prajwal@yashasbuilders.co.in,Bengaluru,USR-200,2023-03-27 15:04:57
CON-000107,Business,ACC-00048,Divya Prasad,Fleet Manager,False,9642749477,divya@yashasbuilders.co.in,Mangaluru,USR-197,2024-07-12 02:35:04
CON-000108,Business,ACC-00048,Bharath Sharma,Owner / Director,True,8982095747,bharath@yashasbuilders.co.inn,Mangaluru,USR-197,2024-06-28 20:35:42
CON-000109,Business,ACC-00048,Vasanth Poojary,Owner / Director,True,9904806342,vasanth @yashasbuilders.co.in,Mangaluru,USR-197,2024-07-04 20:53:56
CON-000110,Business,ACC-00049,Keerthi Acharya,Fleet Manager,False,7130004540,keerthi@yashasbuilders.co.in,Tumakuru,USR-198,2025-09-30 12:01:51
CON-000111,Business,ACC-00050,Asha Raju,Facilities Manager,False,7069531317,asha.raju@yashasbuilders.co.in,Davanagere,USR-200,2023-08-10 01:26:28
CON-000112,Business,ACC-00051,Imran Khan,Procurement Manager,True,9773284887,imranyashasbuilders.co.in,Hubballi,USR-200,2025-07-12 03:03:31
CON-000113,Business,ACC-00051,Manoj Singh,Procurement Manager,True,758875472,,Hubballi,USR-200,2025-07-08 03:32:17
CON-000114,Business,ACC-00051,Amit Prasad,Transport Manager,False,8799610064,,Hubballi,USR-200,2025-07-09 21:14:52
CON-000115,Business,ACC-00052,Nikhil Poojary,Finance Controller,True,9056941242,nikhil.poojary@yashasbuilders.co.in,Belgaum,USR-200,2025-06-04 17:13:57
CON-000116,Business,ACC-00052,Sanjay Sharma,Fleet Manager,False,9950069109,sanjay@yashasbuilders.co.in,Belgaum,USR-200,2025-03-16 15:29:52
CON-000117,Business,ACC-00053,Akash D'Souza,Fleet Manager,False,7480920562,akash.dsouza@primeemployeetransport.com,Hyderabad,USR-197,2019-07-03 23:55:29
CON-000118,Business,ACC-00053,Nayana Jain,Admin Head,False,8883811770,nayana@primeemployeetransport.com,Hyderabad,USR-197,2019-06-18 22:16:49
CON-000119,Business,ACC-00053,Mithun Bhat,Operations Head,True,9225021518,mithun@primeemployeetransport.com,Hyderabad,USR-197,2019-07-29 10:28:46
CON-000120,Business,ACC-00054,Keerthi Acharya,Admin Head,False,7752281616,keerthi@primeemployeetransport.com,Tumakuru,USR-211,2020-03-02 22:18:53
CON-000121,Business,ACC-00054,Nikhil Swamy,Facilities Manager,False,7179939876,nikhil@primeemployeetransport.com,Tumakuru,USR-211,2020-05-16 10:02:38
CON-000122,Business,ACC-00054,Mohan Shetty,Transport Manager,False,6281958319,mohan@primeemployeetransport.com,Tumakuru,USR-211,2020-02-23 16:47:17
CON-000123,Business,ACC-00055,Tejas Pinto,Owner / Director,True,8343245792,tejas@primeemployeetransport.com,Bengaluru,USR-197,2021-01-03 17:38:30
CON-000124,Business,ACC-00056,Madhu Pinto,Admin Head,False,7488225174,madhu@primecommutesolutions.co.in,Bengaluru,USR-197,2021-11-01 05:37:58
CON-000125,Business,ACC-00056,Shashank Agarwal,Facilities Manager,False,9350922489,shashank.agarwal@primecommutesolutions.co.in,Bengaluru,USR-197,2021-11-10 10:36:48
CON-000126,Business,ACC-00057,Chetan Hiremath,Fleet Manager,False,8234516093,chetan.hiremath@primeemployeetransport.com,Bengaluru,USR-214,2021-08-13 22:29:21
CON-000127,Business,ACC-00058,Irfan Joshi,Admin Head,False,9257397852,irfan@karavaliretail.com,Mangaluru,USR-200,2021-08-21 23:38:40
CON-000128,Business,ACC-00058,Deepa Acharya,Procurement Manager,True,6503616657,deepa.acharya@karavaliretail.com,Mangaluru,USR-200,2021-09-23 06:18:11
CON-000129,Business,ACC-00058,Sowmya Raju,Operations Head,True,6722826651,sowmya@karavaliretail.com,Mangaluru,USR-200,2021-06-20 06:24:52
CON-000130,Business,ACC-00059,Bharath Kini,Operations Head,True,6961673352,bharath@karavalibuilders.in,Mysuru,USR-198,2021-12-18 20:05:13
CON-000131,Business,ACC-00060,Rajesh Shenoy,Admin Head,False,9625224910,rajesh@karavaliretail.com,Bengaluru,USR-200,2021-12-26 14:40:34
CON-000132,Business,ACC-00060,Asha D'Souza,Finance Controller,True,9756085778,asha.dsouza@karavaliretail.con,Bengaluru,USR-200,2021-12-20 10:24:15
CON-000133,Business,ACC-00060,Ravi Fernandes,Fleet Manager,False,7988482540,ravi@karavaliretail.com,Bengaluru,USR-200,2022-01-10 15:07:32
CON-000134,Business,ACC-00060,Manoj Raju,Admin Head,False,8590737040,manoj.raju@karavaliretail.com,Bengaluru,USR-200,2022-03-05 12:35:52
CON-000135,Business,ACC-00061,Mithun Agarwal,Fleet Manager,False,8776846668,,Mysuru,USR-198,2022-11-28 03:02:52
CON-000136,Business,ACC-00061,Pavan Iyer,Owner / Director,True,9796041777,pavan@karavalitraders.com,Mysuru,USR-198,2022-12-24 12:43:20
CON-000137,Business,ACC-00061,Aditi Verma,Finance Controller,True,8694701526,aditi@karavalitraders.com,Mysuru,USR-198,2023-02-02 00:25:54
CON-000138,Business,ACC-00061,Ritu Murthy,Finance Controller,True,9952033171,ritu@karavalitraders.com,Mysuru,USR-198,2023-02-17 14:45:46
CON-000139,Business,ACC-00062,Imran Sharma,Transport Manager,False,9082742097,imran.sharma@karavaliretail.com,Bengaluru,USR-198,2022-11-02 19:56:20
CON-000140,Business,ACC-00063,Vijay Nair,Transport Manager,False,8815644587,vijay.nair@karavaliretail.com,Mysuru,USR-211,2023-05-18 22:18:52
CON-000141,Business,ACC-00063,Neha Shetty,Operations Head,True,9906170907,neha.shetty@karavaliretail.com,Mysuru,USR-211,2023-06-15 20:06:53
CON-000142,Business,ACC-00063,Arjun Patil,Fleet Manager,False,7559783279,,Mysuru,USR-211,2023-06-24 06:07:22
CON-000143,Business,ACC-00064,Ritu D'Souza,Operations Head,True,8331282747,ritu.dsouza@annapoornaengineeringw.co.in,Davanagere,USR-200,2020-08-13 00:31:33
CON-000144,Business,ACC-00064,Neha Poojary,Finance Controller,True,9463320981,neha@annapoornaengineeringw.co.in,Davanagere,USR-200,2020-07-27 20:29:36
CON-000145,Business,ACC-00064,Shilpa Angadi,Owner / Director,True,9153869604,shilpa@annapoornaengineeringw.co.in,Davanagere,USR-200,2020-10-14 23:06:36
CON-000146,Business,ACC-00064,Pallavi Swamy,Owner / Director,True,8206544562,pallavi.swamy@annapoornaengineeringw.co.in,Davanagere,USR-200,2020-07-10 02:54:35
CON-000147,Business,ACC-00064,Sowmya Shenoy,Operations Head,True,9488830551,sowmya.shenoy@,Davanagere,USR-200,2020-07-02 19:37:46
CON-000148,Business,ACC-00064,Arun Reddy,Admin Head,False,8362292774,,Davanagere,USR-200,2020-10-05 19:17:38
CON-000149,Business,ACC-00065,Pooja Khan,Procurement Manager,True,9093548929,pooja@annapoornaengineeringw.co.in,Hubballi,USR-204,2021-04-08 23:42:27
CON-000150,Business,ACC-00065,Manoj Jain,Admin Head,False,9449526954,manoj@annapoornaengineeringw.co.in,Hubballi,USR-204,2021-03-30 14:10:54
CON-000151,Business,ACC-00066,Ashwini Kamath,Finance Controller,True,7242838665,ashwini@annapoornafinance.in,Mangaluru,USR-197,2022-12-11 03:27:27
CON-000152,Business,ACC-00066,Nayana Pinto,Finance Controller,True,9643626597,nayana.pinto@annapoornafinance.in,Mangaluru,USR-197,2022-09-29 21:46:34
CON-000153,Business,ACC-00066,Chaitra Khan,Owner / Director,True,7498476002,chaitra@annapoornafinance.in,Mangaluru,USR-197,2022-08-23 06:48:27
CON-000154,Business,ACC-00066,Pooja Babu,Finance Controller,True,9548998875,pooja.babu@annapoornafinance.in,Mangaluru,USR-197,2022-11-28 02:20:51
CON-000155,Business,ACC-00067,Rajesh Verma,Owner / Director,True,9502478522,rajesh@annapoornaengineeringw.co.in,Bengaluru,USR-200,2021-08-13 09:50:20
CON-000156,Business,ACC-00068,Swathi Chandra,Operations Head,True,7015179301,swathi.chandra@hampicapital.in,Bengaluru,USR-198,2022-02-08 11:54:17
CON-000157,Business,ACC-00068,Ganesh Agarwal,Admin Head,False,8073209921,ganesh@hampicapital.in,Bengaluru,USR-198,2022-02-18 05:02:58
CON-000158,Business,ACC-00068,Rashmi Raju,Procurement Manager,True,9788036404,rashmi.raju@hampicapital.in,Bengaluru,USR-198,2022-02-07 04:09:53
CON-000159,Business,ACC-00069,Mahesh Kumar,Facilities Manager,False,6776171693,mahesh.kumar@hampicapital.in,Shivamogga,USR-197,2022-12-11 20:55:31
CON-000160,Business,ACC-00070,Akshata Joshi,Owner / Director,True,9724904640,akshata.joshi@hampiengineeringworks.com,Mangaluru,USR-197,2022-07-02 21:13:00
CON-000161,Business,ACC-00070,Vinod Poojary,Finance Controller,True,7013578026,vinod@hampiengineeringworks.com,Mangaluru,USR-197,2022-08-10 13:36:03
CON-000162,Business,ACC-00071,Vinod Joshi,Finance Controller,True,9446261937,vinod@hampicapital.in,Bengaluru,USR-197,2023-11-08 13:12:48
CON-000163,Business,ACC-00072,Swathi Swamy,Fleet Manager,False,8653106717,swathi@suryacommutesolutionsl.com,Bengaluru,USR-197,2020-07-31 16:31:11
CON-000164,Business,ACC-00072,Farhan Naik,Operations Head,True,7001829085,farhan.naik@suryacommutesolutionsl.com,Bengaluru,USR-197,2020-06-26 19:44:59
CON-000165,Business,ACC-00073,Aditi Bhat,Owner / Director,True,8586517323,aditi.bhat@suryacommutesolutionsl.com,Hubli,USR-200,2021-08-22 22:11:12
CON-000166,Business,ACC-00074,Divya Jain,Admin Head,False,7783949759,divya@suryamobilityservices.com,Hubballi,USR-200,2020-08-18 10:02:54
CON-000167,Business,ACC-00075,Vasanth Gowda,Finance Controller,True,9787137177,vasanth.gowda@suryacommutesolutionsl.com,Bengaluru,USR-200,2022-03-02 07:13:39
CON-000168,Business,ACC-00075,Amit Poojary,Facilities Manager,False,9037342637,,Bengaluru,USR-200,2022-03-12 16:46:02
CON-000169,Business,ACC-00075,Anil Iyer,Transport Manager,False,6081364014,anil.iyer@suryacommutesolutionsl.com,Bengaluru,USR-200,2022-02-24 14:42:11
CON-000170,Business,ACC-00076,Aditya Verma,Operations Head,True,7512415218,aditya.verma@suryaemployeetransport.com,Bengaluru,USR-198,2023-02-22 17:20:29
CON-000171,Business,ACC-00076,Farhan Hiremath,Finance Controller,True,9075512247,farhan@suryaemployeetransport.com,Bengaluru,USR-198,2023-01-05 04:00:55
CON-000172,Business,ACC-00076,Rekha Shetty,Transport Manager,False,9279454846,rekha@suryaemployeetransport.com,Bengaluru,USR-198,2022-11-15 07:44:06
CON-000173,Business,ACC-00077,Sachin Kini,Admin Head,False,9236464003,sachin.kini@royaltourstravels.in,Udupi,USR-197,2019-05-09 23:11:36
CON-000174,Business,ACC-00077,Akash D'Souza,Operations Head,True,6283422341,akash@royaltourstravels.in,Udupi,USR-197,2019-03-17 07:39:16
