IssueType,Table,RecordID,RelatedRecordID,Detail
duplicate_account,dim_accounts,ACC-04798,ACC-04367,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04799,ACC-01410,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04800,ACC-01406,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04801,ACC-02526,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04802,ACC-01078,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04803,ACC-02757,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04804,ACC-00444,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04805,ACC-01210,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04806,ACC-04715,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04807,ACC-00903,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04808,ACC-01907,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04809,ACC-00698,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04810,ACC-00970,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04811,ACC-01404,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04812,ACC-02677,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04813,ACC-04411,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04814,ACC-03431,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04815,ACC-02200,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04816,ACC-00627,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04817,ACC-03016,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04818,ACC-01867,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04819,ACC-01608,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04820,ACC-01196,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04821,ACC-02734,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04822,ACC-02006,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04823,ACC-03706,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04824,ACC-03761,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04825,ACC-01274,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04826,ACC-01065,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04827,ACC-00913,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04828,ACC-03390,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04829,ACC-03181,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04830,ACC-03818,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04831,ACC-03695,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04832,ACC-02810,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04833,ACC-04271,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04834,ACC-02572,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04835,ACC-01627,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04836,ACC-01531,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04837,ACC-01499,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04838,ACC-01777,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04839,ACC-02517,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04840,ACC-01740,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04841,ACC-03180,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04842,ACC-04197,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04843,ACC-01715,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04844,ACC-01324,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04845,ACC-01888,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04846,ACC-04055,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04847,ACC-04216,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04848,ACC-03068,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04849,ACC-02716,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04850,ACC-03184,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04851,ACC-03823,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04852,ACC-04416,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04853,ACC-00999,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04854,ACC-02984,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04855,ACC-02422,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04856,ACC-02531,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04857,ACC-03435,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04858,ACC-00789,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04859,ACC-02339,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04860,ACC-02769,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04861,ACC-01079,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04862,ACC-00115,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04863,ACC-04284,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04864,ACC-01348,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04865,ACC-02350,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04866,ACC-03896,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04867,ACC-03576,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04868,ACC-00541,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04869,ACC-02477,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04870,ACC-03283,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04871,ACC-02631,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04872,ACC-02206,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04873,ACC-01978,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04874,ACC-00288,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04875,ACC-02499,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04876,ACC-02796,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04877,ACC-01096,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04878,ACC-03203,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04879,ACC-02031,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04880,ACC-03378,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04881,ACC-03302,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04882,ACC-02404,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04883,ACC-01091,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04884,ACC-02863,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04885,ACC-03620,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04886,ACC-03531,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04887,ACC-03883,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04888,ACC-04038,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04889,ACC-04436,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04890,ACC-00012,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04891,ACC-03568,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04892,ACC-02268,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04893,ACC-01344,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04894,ACC-03462,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04895,ACC-01480,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04896,ACC-03076,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04897,ACC-03222,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04898,ACC-03310,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04899,ACC-00527,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04900,ACC-03511,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04901,ACC-02593,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04902,ACC-01957,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04903,ACC-02516,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04904,ACC-00315,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04905,ACC-01178,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04906,ACC-02973,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04907,ACC-00282,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04908,ACC-03879,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04909,ACC-00878,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04910,ACC-01029,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04911,ACC-01510,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04912,ACC-04494,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04913,ACC-00220,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04914,ACC-03963,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04915,ACC-04638,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04916,ACC-01080,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04917,ACC-01125,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04918,ACC-02520,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04919,ACC-00190,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04920,ACC-04435,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04921,ACC-01297,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04922,ACC-03300,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04923,ACC-01945,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04924,ACC-02964,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04925,ACC-01845,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04926,ACC-03798,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04927,ACC-04175,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04928,ACC-02166,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04929,ACC-02527,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04930,ACC-01830,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04931,ACC-00998,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04932,ACC-01848,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04933,ACC-02790,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04934,ACC-01361,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04935,ACC-04544,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04936,ACC-01292,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04937,ACC-02650,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04938,ACC-01986,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04939,ACC-02381,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04940,ACC-03893,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04941,ACC-01371,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04942,ACC-02098,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04943,ACC-01720,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04944,ACC-04190,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04945,ACC-01812,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04946,ACC-04594,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04947,ACC-02135,Same business as the related account; created again with a variant name
duplicate_account,dim_accounts,ACC-04948,ACC-02321,Same business as the related account; created again with a variant name
nonstandard_city,dim_accounts,ACC-00002,,'Mangalore' -> Mangaluru
missing_industry,dim_accounts,ACC-00003,,
missing_gstin,dim_accounts,ACC-00014,,
nonstandard_city,dim_accounts,ACC-00023,,'BLR' -> Bengaluru
missing_gstin,dim_accounts,ACC-00026,,
nonstandard_city,dim_accounts,ACC-00039,,'Tumkur' -> Tumakuru
nonstandard_industry,dim_accounts,ACC-00042,,Transportation -> Transportation Services
missing_gstin,dim_accounts,ACC-00043,,
nonstandard_city,dim_accounts,ACC-00044,,'Mangalore' -> Mangaluru
malformed_gstin,dim_accounts,ACC-00047,,29nwkcy8321u1zh
nonstandard_city,dim_accounts,ACC-00052,,'Belgaum' -> Belagavi
missing_industry,dim_accounts,ACC-00058,,
missing_industry,dim_accounts,ACC-00061,,
missing_gstin,dim_accounts,ACC-00062,,
missing_industry,dim_accounts,ACC-00070,,
nonstandard_city,dim_accounts,ACC-00073,,'Hubli' -> Hubballi
nonstandard_industry,dim_accounts,ACC-00074,,Travels -> Transportation Services
nonstandard_industry,dim_accounts,ACC-00080,,Transport -> Transportation Services
nonstandard_city,dim_accounts,ACC-00081,,'Hubli' -> Hubballi
missing_gstin,dim_accounts,ACC-00090,,
missing_gstin,dim_accounts,ACC-00093,,
nonstandard_city,dim_accounts,ACC-00095,,'Mangalore' -> Mangaluru
missing_gstin,dim_accounts,ACC-00100,,
missing_gstin,dim_accounts,ACC-00108,,
nonstandard_industry,dim_accounts,ACC-00108,,Real Estate -> Construction & Real Estate
missing_gstin,dim_accounts,ACC-00109,,
missing_gstin,dim_accounts,ACC-00114,,
nonstandard_industry,dim_accounts,ACC-00119,,Rental -> Automotive Rental
missing_industry,dim_accounts,ACC-00120,,
nonstandard_city,dim_accounts,ACC-00128,,'Davangere' -> Davanagere
missing_gstin,dim_accounts,ACC-00129,,
missing_gstin,dim_accounts,ACC-00130,,
nonstandard_industry,dim_accounts,ACC-00138,,Car Rental -> Automotive Rental
nonstandard_industry,dim_accounts,ACC-00142,,Travels -> Transportation Services
nonstandard_industry,dim_accounts,ACC-00144,,Transport -> Transportation Services
missing_gstin,dim_accounts,ACC-00145,,
missing_gstin,dim_accounts,ACC-00147,,
missing_industry,dim_accounts,ACC-00148,,
nonstandard_industry,dim_accounts,ACC-00151,,Car Rental -> Automotive Rental
missing_gstin,dim_accounts,ACC-00154,,
nonstandard_industry,dim_accounts,ACC-00154,,Transport -> Transportation Services
missing_gstin,dim_accounts,ACC-00155,,
missing_industry,dim_accounts,ACC-00158,,
missing_gstin,dim_accounts,ACC-00159,,
nonstandard_city,dim_accounts,ACC-00163,,'udupi' -> Udupi
nonstandard_city,dim_accounts,ACC-00169,,'Davangere' -> Davanagere
missing_gstin,dim_accounts,ACC-00179,,
missing_gstin,dim_accounts,ACC-00180,,
malformed_gstin,dim_accounts,ACC-00182,,29DDRTM1181L1ZT
nonstandard_industry,dim_accounts,ACC-00185,,Hotel & Resorts -> Hospitality
nonstandard_industry,dim_accounts,ACC-00190,,Transportation -> Transportation Services
nonstandard_city,dim_accounts,ACC-00193,,'Tumkur' -> Tumakuru
missing_gstin,dim_accounts,ACC-00194,,
missing_gstin,dim_accounts,ACC-00197,,
missing_gstin,dim_accounts,ACC-00201,,
nonstandard_city,dim_accounts,ACC-00204,,'Mangalore' -> Mangaluru
missing_gstin,dim_accounts,ACC-00205,,
malformed_gstin,dim_accounts,ACC-00206,,29EPHCS3538U12C
missing_gstin,dim_accounts,ACC-00210,,
nonstandard_city,dim_accounts,ACC-00218,,'Mangalore' -> Mangaluru
nonstandard_city,dim_accounts,ACC-00219,,'Bangalore' -> Bengaluru
missing_gstin,dim_accounts,ACC-00222,,
nonstandard_industry,dim_accounts,ACC-00225,,Transport -> Transportation Services
missing_gstin,dim_accounts,ACC-00227,,
nonstandard_industry,dim_accounts,ACC-00233,,Banking -> Banking & Financial Services
missing_industry,dim_accounts,ACC-00237,,
missing_gstin,dim_accounts,ACC-00238,,
nonstandard_industry,dim_accounts,ACC-00239,,Travels -> Transportation Services
missing_gstin,dim_accounts,ACC-00243,,
missing_industry,dim_accounts,ACC-00249,,
missing_gstin,dim_accounts,ACC-00253,,
nonstandard_industry,dim_accounts,ACC-00253,,Finance -> Banking & Financial Services
nonstandard_industry,dim_accounts,ACC-00256,,Banking -> Banking & Financial Services
malformed_gstin,dim_accounts,ACC-00257,,29KXXCG8007Z12E
nonstandard_industry,dim_accounts,ACC-00262,,Banking -> Banking & Financial Services
nonstandard_city,dim_accounts,ACC-00264,,'Mangalore' -> Mangaluru
missing_gstin,dim_accounts,ACC-00267,,
missing_gstin,dim_accounts,ACC-00270,,
nonstandard_industry,dim_accounts,ACC-00270,,Transportation -> Transportation Services
malformed_gstin,dim_accounts,ACC-00271,,29TXVPA3813S124
nonstandard_city,dim_accounts,ACC-00271,,'Belgaum' -> Belagavi
nonstandard_city,dim_accounts,ACC-00273,,'BLR' -> Bengaluru
nonstandard_industry,dim_accounts,ACC-00278,,Transport -> Transportation Services
missing_gstin,dim_accounts,ACC-00280,,
missing_gstin,dim_accounts,ACC-00283,,
nonstandard_industry,dim_accounts,ACC-00285,,Banking -> Banking & Financial Services
missing_gstin,dim_accounts,ACC-00295,,
nonstandard_city,dim_accounts,ACC-00295,,'udupi' -> Udupi
missing_gstin,dim_accounts,ACC-00298,,
nonstandard_industry,dim_accounts,ACC-00302,,Transportation -> Transportation Services
nonstandard_industry,dim_accounts,ACC-00308,,BFSI -> Banking & Financial Services
malformed_gstin,dim_accounts,ACC-00309,,29SLPPS2084D1Z
missing_gstin,dim_accounts,ACC-00310,,
malformed_gstin,dim_accounts,ACC-00312,,29SLPPS 2084D1Z7
missing_gstin,dim_accounts,ACC-00313,,
nonstandard_city,dim_accounts,ACC-00314,,'Davangere' -> Davanagere
missing_gstin,dim_accounts,ACC-00324,,
missing_gstin,dim_accounts,ACC-00326,,
missing_gstin,dim_accounts,ACC-00327,,
missing_gstin,dim_accounts,ACC-00328,,
missing_gstin,dim_accounts,ACC-00329,,
nonstandard_industry,dim_accounts,ACC-00329,,IT -> Information Technology
nonstandard_industry,dim_accounts,ACC-00336,,Travels -> Transportation Services
nonstandard_city,dim_accounts,ACC-00336,,'Belgaum' -> Belagavi
missing_gstin,dim_accounts,ACC-00337,,
nonstandard_city,dim_accounts,ACC-00337,,'Bengaluru ' -> Bengaluru
missing_gstin,dim_accounts,ACC-00343,,
missing_gstin,dim_accounts,ACC-00345,,
malformed_gstin,dim_accounts,ACC-00347,,29XZZFV7447P12K
nonstandard_industry,dim_accounts,ACC-00355,,Finance -> Banking & Financial Services
missing_industry,dim_accounts,ACC-00361,,
missing_gstin,dim_accounts,ACC-00365,,
nonstandard_industry,dim_accounts,ACC-00370,,Educational Institution -> Education
nonstandard_city,dim_accounts,ACC-00370,,'BLR' -> Bengaluru
nonstandard_city,dim_accounts,ACC-00372,,'Belgaum' -> Belagavi
missing_gstin,dim_accounts,ACC-00378,,
nonstandard_industry,dim_accounts,ACC-00386,,Health Care -> Healthcare
nonstandard_city,dim_accounts,ACC-00387,,'udupi' -> Udupi
missing_gstin,dim_accounts,ACC-00398,,
missing_gstin,dim_accounts,ACC-00401,,
missing_gstin,dim_accounts,ACC-00405,,
missing_gstin,dim_accounts,ACC-00406,,
malformed_gstin,dim_accounts,ACC-00409,,29uurcs6572r1za
nonstandard_industry,dim_accounts,ACC-00412,,BFSI -> Banking & Financial Services
nonstandard_city,dim_accounts,ACC-00412,,'Hubli' -> Hubballi
nonstandard_city,dim_accounts,ACC-00414,,'Bengaluru ' -> Bengaluru
missing_industry,dim_accounts,ACC-00416,,
nonstandard_city,dim_accounts,ACC-00423,,'Tumkur' -> Tumakuru
missing_gstin,dim_accounts,ACC-00426,,
nonstandard_city,dim_accounts,ACC-00435,,'Hubli' -> Hubballi
missing_industry,dim_accounts,ACC-00439,,
missing_gstin,dim_accounts,ACC-00440,,
nonstandard_industry,dim_accounts,ACC-00441,,Educational Institution -> Education
malformed_gstin,dim_accounts,ACC-00445,,29IKPTN4487G1Z
nonstandard_city,dim_accounts,ACC-00447,,'Shimoga' -> Shivamogga
nonstandard_industry,dim_accounts,ACC-00449,,Transport -> Transportation Services
missing_industry,dim_accounts,ACC-00451,,
missing_gstin,dim_accounts,ACC-00452,,
missing_gstin,dim_accounts,ACC-00460,,
missing_gstin,dim_accounts,ACC-00467,,
nonstandard_industry,dim_accounts,ACC-00469,,Car Rental -> Automotive Rental
nonstandard_industry,dim_accounts,ACC-00474,,Info Tech -> Information Technology
nonstandard_industry,dim_accounts,ACC-00476,,Info Tech -> Information Technology
nonstandard_city,dim_accounts,ACC-00477,,'Bengaluru ' -> Bengaluru
missing_gstin,dim_accounts,ACC-00479,,
missing_gstin,dim_accounts,ACC-00482,,
missing_gstin,dim_accounts,ACC-00483,,
nonstandard_city,dim_accounts,ACC-00486,,'Mysore' -> Mysuru
missing_industry,dim_accounts,ACC-00487,,
nonstandard_industry,dim_accounts,ACC-00495,,BFSI -> Banking & Financial Services
nonstandard_industry,dim_accounts,ACC-00500,,Finance -> Banking & Financial Services
nonstandard_industry,dim_accounts,ACC-00501,,Banking -> Banking & Financial Services
nonstandard_city,dim_accounts,ACC-00508,,'Belgaum' -> Belagavi
missing_gstin,dim_accounts,ACC-00509,,
nonstandard_industry,dim_accounts,ACC-00513,,Real Estate -> Construction & Real Estate
missing_gstin,dim_accounts,ACC-00530,,
missing_gstin,dim_accounts,ACC-00533,,
nonstandard_city,dim_accounts,ACC-00534,,'bengaluru' -> Bengaluru
nonstandard_city,dim_accounts,ACC-00540,,'Bengaluru ' -> Bengaluru
nonstandard_industry,dim_accounts,ACC-00541,,Finance -> Banking & Financial Services
missing_gstin,dim_accounts,ACC-00544,,
nonstandard_city,dim_accounts,ACC-00544,,'Davangere' -> Davanagere
nonstandard_industry,dim_accounts,ACC-00545,,Mfg -> Manufacturing
nonstandard_industry,dim_accounts,ACC-00547,,Manufacturer -> Manufacturing
malformed_gstin,dim_accounts,ACC-00551,,29KLXCB 2159H1Z7
nonstandard_city,dim_accounts,ACC-00555,,'udupi' -> Udupi
missing_industry,dim_accounts,ACC-00557,,
nonstandard_city,dim_accounts,ACC-00559,,'udupi' -> Udupi
missing_gstin,dim_accounts,ACC-00565,,
nonstandard_industry,dim_accounts,ACC-00566,,Hotel & Resorts -> Hospitality
missing_gstin,dim_accounts,ACC-00568,,
nonstandard_city,dim_accounts,ACC-00568,,'bengaluru' -> Bengaluru
nonstandard_industry,dim_accounts,ACC-00570,,Transport -> Transportation Services
nonstandard_industry,dim_accounts,ACC-00574,,Banking -> Banking & Financial Services
missing_industry,dim_accounts,ACC-00577,,
nonstandard_industry,dim_accounts,ACC-00583,,Transport -> Transportation Services
missing_gstin,dim_accounts,ACC-00586,,
nonstandard_industry,dim_accounts,ACC-00589,,Medical -> Healthcare
missing_industry,dim_accounts,ACC-00590,,
missing_gstin,dim_accounts,ACC-00595,,
nonstandard_city,dim_accounts,ACC-00601,,'Mangalore' -> Mangaluru
